Id,Name,Latitude,Longitude,Altitude,Ownership,Type,admin3Name,admin3Pcod,admin2Name,admin2Pcod,admin1Name,admin1Pcod,City,Kebele,Status
1073629,)19 Tincha Health post,10.808444400000001,39.365658600000003,2912.634032999999818,Public/Government,Health Post,Legambo,ET030410,South Wello,ET0304,Amhara,ET03,Akesta,"19",Approved
1048349,.Ukesha Medium Clinic,7.101973700000000,39.192300899999999,2370.099854000000050,Private for profit,Clinic,Gedeb Asasa,ET041706,West Arsi,ET0417,Oromia,ET04,Hasasa,"02",Approved
1081199,?Amen Drug stor,7.196983400000000,35.421300700000003,1216.000000000000000,Private for profit,Pharmacy,Tepi,ET110104,Sheka,ET1101,South West Ethiopia,ET11,,,Approved
1081201,?Ashu Drug stor,7.204336300000000,35.410494600000000,1264.400000000000091,Private for profit,Pharmacy,Tepi,ET110104,Sheka,ET1101,South West Ethiopia,ET11,,,Approved
1081198,?Buzayehu Drug stor,7.196346700000000,35.425761600000001,1203.200000000000045,Private for profit,Pharmacy,Tepi,ET110104,Sheka,ET1101,South West Ethiopia,ET11,,,Approved
1081202,?Fraol Drug stor,7.196514000000000,35.425369500000002,1201.900000000000091,Private for profit,Pharmacy,Tepi,ET110104,Sheka,ET1101,South West Ethiopia,ET11,,,Approved
1078945,?Geselashashe Health Post,8.289688699999999,39.518433100000003,2110.199999999999818,Public/Government,Health Post,Sire,ET040820,Arsi,ET0408,Oromia,ET04,,,Approved
1042750,?Gobie Health Post,6.599400990000000,35.522893019999998,1670.000000000000000,Public/Government,Health Post,Gori Gesha,ET110503,Mirab Omo,ET1105,South West Ethiopia,ET11,,Gobi,Approved
1081200,?Masresha Drug Stor,7.196309700000000,35.425729699999998,1229.599999999999909,Private for profit,Pharmacy,Tepi,ET110104,Sheka,ET1101,South West Ethiopia,ET11,,,Approved
1065832,?Shukacha Health Post,6.824633600000000,35.902616799999997,2004.000000000000000,Public/Government,Health Post,Menit Goldiye,ET110502,Mirab Omo,ET1105,South West Ethiopia,ET11,Bachuma,Shokach,Approved
1038820,`Adugna Primary Clinic,9.561168900000000,36.629204500000000,1414.400000000000091,Private for profit,Clinic,Gida Ayana,ET040203,East Wellega,ET0402,Oromia,ET04,Angar Gute,Anger Gute,Approved
1079718,`Mahiderekal Pharmacy no2,8.750839600000003,38.986157700000000,1902.621337999999923,Private for profit,Pharmacy,Bishoftu town,ET040709,East Shewa,ET0407,Oromia,ET04,Bishoftu,Hora,Approved
1074533,"01 Ashenga Health post",11.049451299999999,38.775549499999997,2767.367999999999938,Public/Government,Health Post,Sayint,ET030411,South Wello,ET0304,Amhara,ET03,Ashinga,"01 Ashinga",Approved
1072710,"01 Bededo Health post",11.204031900000000,39.685404400000003,2313.300000000000182,Public/Government,Health Post,Thehulederie,ET030405,South Wello,ET0304,Amhara,ET03,Bededo,"1",Approved
1076104,"01 Geter Dijer  Health Post",11.615724600000000,38.931311000000001,2884.809000000000196,Public/Government,Health Post,Wadla,ET030305,North Wello,ET0303,Amhara,ET03,,"01 dijer",Approved
1073738,"01 Geter Shola Health Post",11.449588000000000,38.879288600000002,2729.400000000000091,Public/Government,Health Post,Dawunt,ET030311,North Wello,ET0303,Amhara,ET03,,"01Getr",Approved
1082208,"01 Kebele Health post",12.155703800000000,39.629388499999997,1550.700000000000045,Public/Government,Health Post,Kobo town,ET030399,North Wello,ET0303,Amhara,ET03,,,Approved
1073314,"01 Mahdere selam Health Post",10.593094700000000,38.759783300000002,2425.400000000000091,Public/Government,Health Post,Wegde,ET030416,South Wello,ET0304,Amhara,ET03,wogide,"1",Approved
1076058,"01 Majete Health Post",10.711266800000001,39.274332000000001,2728.000000000000000,Public/Government,Health Post,Legehida,ET030420,South Wello,ET0304,Amhara,ET03,Majete,"01 Majete",Approved
1075471,"01 Serto Masaya Health Post",10.593594700000001,38.752824599999997,2413.300000000000182,Public/Government,Health Post,Wegde,ET030416,South Wello,ET0304,Amhara,ET03,wogide,"1",Approved
1076942,"01 Worento Health post",10.792855500000000,38.923906899999999,2691.000000000000000,Public/Government,Health Post,Legambo,ET030410,South Wello,ET0304,Amhara,ET03,Akesta,"01 Worento",Approved
1074118,"01 Yimery Health Post",10.578552000000000,39.011013900000002,2523.800000000000182,Public/Government,Health Post,Kelela,ET030413,South Wello,ET0304,Amhara,ET03,Kelela,"01 yimery",Approved
1071938,"010 Durka Health Post",10.953766999999999,38.913606500000000,3042.800000000000182,Public/Government,Health Post,Sayint,ET030411,South Wello,ET0304,Amhara,ET03,Durka,"010",Approved
1075083,"010 Hara Health Post",11.277175400000001,39.757300200000003,2141.199999999999818,Public/Government,Health Post,Thehulederie,ET030405,South Wello,ET0304,Amhara,ET03,Hara,"10",Approved
1073344,"010 Keyamara Health Post",10.591850100000000,39.007756399999998,2555.500000000000000,Public/Government,Health Post,Kelela,ET030413,South Wello,ET0304,Amhara,ET03,Kelela,"010 keyameari",Approved
1074599,"010 Kire gebeya Health post",10.669062200000001,39.346396300000002,2687.000000000000000,Public/Government,Health Post,Legehida,ET030420,South Wello,ET0304,Amhara,ET03,Kire gebeya,"010 Kire gebeya",Approved
1071644,"010 Kombolcha Health Post",11.070678100000000,39.699989899999998,1942.099999999999909,Public/Government,Health Post,Kombolcha town,ET030417,South Wello,ET0304,Amhara,ET03,Kombolcha,"10",Approved
1071876,"011 Esola Health Post",10.474018200000000,39.064210600000003,2227.155029000000013,Public/Government,Health Post,Kelela,ET030413,South Wello,ET0304,Amhara,ET03,Kelela,"011 esola",Approved
1074426,"011 Hardibo Health post",11.261978100000000,39.745799900000002,2176.300000000000182,Public/Government,Health Post,Thehulederie,ET030405,South Wello,ET0304,Amhara,ET03,Hardibo,"11",Approved
1074765,"011 Kombolcha Health Post",11.095742700000001,39.683952400000003,1871.500000000000000,Public/Government,Health Post,Kombolcha town,ET030417,South Wello,ET0304,Amhara,ET03,Kombolcha,"11",Approved
1073736,"011 Yegodo Health post",11.134905300000000,38.640492500000001,2524.599999999999909,Public/Government,Health Post,Sayint,ET030411,South Wello,ET0304,Amhara,ET03,Yegodo,"011",Approved
1072764,"012 Gobeya Health Post",11.309485600000000,39.713709600000001,1975.799999999999955,Public/Government,Health Post,Thehulederie,ET030405,South Wello,ET0304,Amhara,ET03,Gobeya,"12",Approved
1073016,"012 Shikf Health post",10.640773599999999,39.330748399999997,2590.000000000000000,Public/Government,Health Post,Legehida,ET030420,South Wello,ET0304,Amhara,ET03,Shikf,"012 Shikf",Approved
1075792,"012 wogide Health post",11.103416700000000,38.607909999999997,2446.400000000000091,Public/Government,Health Post,Sayint,ET030411,South Wello,ET0304,Amhara,ET03,Wogide,"012",Approved
1074780,"013 Denbeya  afaf Health post",10.631624000000000,39.303189500000002,2598.000000000000000,Public/Government,Health Post,Legehida,ET030420,South Wello,ET0304,Amhara,ET03,Denbeya Afaf,"013 Denbeya Afaf",Approved
1071354,"013 Jari health post",11.355186600000000,39.665523399999998,1812.000000000000000,Public/Government,Health Post,Thehulederie,ET030405,South Wello,ET0304,Amhara,ET03,Jari,"13",Approved
