Name,Type,admin1Name,Ownership,Latitude,Longitude
Legge Oda Mirga Health Post,Health Post,Dire Dawa,Public/Government,9.4898067,41.8464739
Mudi Aneno Health Post,Health Post,Dire Dawa,Public/Government,9.6385039,41.9049291
Abubeker Muti Health Post,Health Post,Harari,Public/Government,9.3425474,42.1101001
Kirkire Health Post,Health Post,Dire Dawa,Public/Government,9.5177812,41.7409778
Awoberkele Comprehensive Health Post,Health Post,Harari,Public/Government,9.3139552,42.1047323
Efoyita Health Center,Health Center,Addis Ababa,Public/Government,8.9940021,38.7711171
Addis Ketema Health Center,Health Center,Dire Dawa,Public/Government,9.5814558,41.8661215
Bokoji Primary Hospital,Hospital,Oromia,Public/Government,7.544733,39.254232
Dembi Dollo Compernsive Specialized Hospital,Hospital,Oromia,Public/Government,8.521316000000002,34.807909
Inemay Gemer Health Post,Health Post,Oromia,Public/Government,9.452818,35.644081
Danecho Health Post,Health Post,SNNP,Public/Government,7.9747086,38.2626212
Sibu Ebicha Health Post,Health Post,Oromia,Public/Government,9.245834,35.612077
Ynesa Lmrt Health Post,Health Post,Amhara,Public/Government,11.4062549,37.1532624
Tach Arisho Health Post,Health Post,SNNP,Public/Government,7.2865489,37.9953114
Hurumu Jibat Health Post,Health Post,Oromia,Public/Government,8.614993,37.431467
Geshe Health Post,Health Post,Oromia,Public/Government,8.1073956,36.4810386
Wachu Woltane Health Post,Health Post,Oromia,Public/Government,9.133578,40.949046
Elemo Health Center,Health Center,Oromia,Public/Government,8.4653168,35.8160455
Hidi Health Center,Health Center,Oromia,Public/Government,8.7908668,39.0822939
Balle Dorani Health Center,Health Center,Oromia,Public/Government,7.0860057,40.5147225
Feresbet Primery Hospital,Hospital,Amhara,Public/Government,10.8564161,37.6040263
Megele 29 Health Post,Health Post,Benishangul Gumz,Public/Government,10.0412623,34.5473978
Sorya  Health Post,Health Post,Tigray,Public/Government,12.382567,39.294735
Sugelitinen Health Post,Health Post,Benishangul Gumz,Public/Government,10.7168954,34.7685473
Hintsa Health Post,Health Post,Tigray,Public/Government,13.3135836,39.1742353
Dishi Geter Health Post,Health Post,South West Ethiopia,Public/Government,6.9593845,36.1897421
May Kuhli Health Center,Health Center,Tigray,Public/Government,14.214291,37.7298677
Gerhu Srnay Health Center,Health Center,Tigray,Public/Government,14.492671,39.1709197
Jidane Health Post,Health Post,Somali,Public/Government,9.6469514,41.8155267
Qaydar Health Post,Health Post,Somali,Public/Government,9.1073392,43.2270045
Legge Oda Mirga Health Post #2,Health Post,Dire Dawa,Public/Government,9.4908067,41.8474739
Mudi Aneno Health Post #2,Health Post,Dire Dawa,Public/Government,9.6395039,41.9059291
Abubeker Muti Health Post #2,Health Post,Harari,Public/Government,9.3435474,42.1111001
Kirkire Health Post #2,Health Post,Dire Dawa,Public/Government,9.5187812,41.7419778
Awoberkele Comprehensive Health Post #2,Health Post,Harari,Public/Government,9.3149552,42.1057323
Efoyita Health Center #2,Health Center,Addis Ababa,Public/Government,8.995002099999999,38.7721171
Addis Ketema Health Center #2,Health Center,Dire Dawa,Public/Government,9.5824558,41.8671215
Bokoji Primary Hospital #2,Hospital,Oromia,Public/Government,7.545733,39.255232
Dembi Dollo Compernsive Specialized Hospital #2,Hospital,Oromia,Public/Government,8.522316000000002,34.808909
Inemay Gemer Health Post #2,Health Post,Oromia,Public/Government,9.453818,35.645081
Danecho Health Post #2,Health Post,SNNP,Public/Government,7.9757086,38.2636212
Sibu Ebicha Health Post #2,Health Post,Oromia,Public/Government,9.246834,35.613077
Ynesa Lmrt Health Post #2,Health Post,Amhara,Public/Government,11.4072549,37.1542624
Tach Arisho Health Post #2,Health Post,SNNP,Public/Government,7.2875489,37.9963114
Hurumu Jibat Health Post #2,Health Post,Oromia,Public/Government,8.615993,37.432467
